*ERROR* 	2015/12/14 - 10:05:26: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 10:06:28: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 10:06:28: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 10:06:29: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:16:47: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:16:47: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:16:47: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:20:55: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:20:55: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:20:55: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:20:58: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:24:33: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:24:35: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:24:51: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:24:51: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:24:52: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:25:17: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:25:17: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 12:25:17: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 15:11:06: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 15:11:18: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 15:11:20: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 15:11:20: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 15:11:20: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2015/12/14 - 15:11:21: Shop not found at line 404 in file classes/shop/Shop.php
